"id","hostid","name","roomtype","bathrooms","bedrooms","hostlistings","calendar_last_scraped","pricelast","reviewtotal","reviewspermonth","neighborhood","borough","latitude","longitude","minstay","maximum_nights","availability_30","availability_60","availability_90","availability_365","review_scores_rating","review_scores_accuracy","review_scores_cleanliness","review_scores_communication","review_scores_location","review_scores_value"
4785215,10502090,"Century House Doug Fir Room","Private room",NA,1,5,"2021-12-20",89,96,1.13,"Ward 2",NA,44.93448,-123.02103,2,1125,23,51,74,247,4.95,4.95,4.99,4.98,4.82,4.85
7293821,38202007,"Chauffeurs Room @ the Villa","Entire home/apt",NA,NA,1,"2021-12-20",113,355,4.54,"Ward 7",NA,44.92484,-123.0499,2,28,24,49,79,79,4.95,4.97,4.97,4.99,4.98,4.91
8524259,2421461,"Single room in Comfort Home","Private room",NA,1,2,"2021-12-20",65,3,0.06,"Ward 7",NA,44.89105,-123.06843,1,90,2,2,2,264,5,5,5,5,5,5
8698684,3208932,"Charming 1925 Craftsman centrally located!","Entire home/apt",NA,3,3,"2021-12-20",261,81,1.11,"Ward 2",NA,44.93305,-123.01985,3,31,0,14,32,150,4.78,4.81,4.53,4.98,4.9,4.83
9238563,48017737,"Spacious Suite w/ Private Sauna and AC in City","Entire home/apt",NA,1,1,"2021-12-20",92,360,4.88,"Ward 1",NA,44.95434,-123.05679,3,66,23,53,76,166,4.9,4.95,4.99,4.96,4.89,4.89
9477671,14797761,"Stylish Private Urban Guest House-Vaccine Required","Entire home/apt",NA,1,1,"2021-12-20",76,524,8.01,"Ward 1",NA,44.95668,-123.02635,1,14,9,32,51,51,4.98,4.99,5,4.99,4.94,4.93
9597053,18810608,"Spacious home near downtown Salem","Entire home/apt",NA,1,1,"2021-12-20",79,210,2.89,"Ward 1",NA,44.95171,-123.04056,3,1125,10,25,52,104,4.89,4.92,4.91,4.99,4.68,4.93
9956213,38945057,"Immaculate home with Central AC in SE Salem","Entire home/apt",NA,3,1,"2021-12-20",190,100,1.38,"Ward 4",NA,44.8759,-123.0604,2,30,20,50,80,170,4.93,4.98,4.94,4.99,4.88,4.89
10074172,51689419,"Relax in a  Quiet Peaceful Historic House","Private room",NA,1,4,"2021-12-20",79,157,2.18,"Ward 1",NA,44.94404,-123.0128,1,100,30,60,90,180,4.47,4.66,4.47,4.83,4.81,4.58
11362008,3208932,"Travel Inspired King Room (+ desk), Central Salem","Private room",NA,1,3,"2021-12-20",40,366,5.29,"Ward 2",NA,44.93135,-123.02125,1,30,18,47,77,130,4.87,4.93,4.76,4.98,4.95,4.94
12588161,68279432,"Home away from home","Private room",NA,1,1,"2021-12-20",35,63,0.92,"Ward 2",NA,44.91015,-123.03455,14,1125,0,5,35,310,4.86,4.97,4.97,4.94,4.9,4.92
12892550,972844,"Peaceful Room in Salem Historic Neighborhood","Private room",NA,1,1,"2021-12-20",84,134,1.96,"Ward 1",NA,44.94406,-123.01257,1,1125,28,58,88,178,4.41,4.63,4.53,4.71,4.77,4.54
13238464,18605800,"House on the Corner","Private room",NA,2,1,"2021-12-20",80,47,1.67,"Ward 1",NA,44.94813,-123.02608,2,16,2,23,53,53,4.96,4.98,5,4.96,5,4.94
13620753,78890374,"Private Suite 5 mins to Downtown /60 mins to Coast","Private room",NA,1,1,"2021-12-20",67,382,5.72,"Ward 8",NA,44.9622,-123.0696,1,1125,4,34,64,331,4.97,4.96,4.98,4.99,4.94,4.98
13960938,19196434,"2 Bedrooms/Private Entry/Private Bath, S Salem","Private room",NA,2,1,"2021-12-20",55,153,2.36,"Ward 7",NA,44.90361,-123.05791,3,30,20,45,75,165,4.88,4.93,4.94,4.95,4.95,4.97
14077210,2666789,"Light filled Art Loft on Fairmount Hill","Entire home/apt",NA,NA,1,"2021-12-20",111,242,3.69,"Ward 7",NA,44.92325,-123.04947,2,30,16,16,18,30,4.98,5,5,4.99,4.97,4.94
14556351,83848627,"Ben Lomond House","Entire home/apt",NA,4,1,"2021-12-20",307,100,1.54,"Ward 2",NA,44.91678,-123.03907,2,1125,24,52,79,328,4.82,4.86,4.65,4.96,4.94,4.79
14967922,89181819,"5-star 4-Bedroom home near WIllamette University","Entire home/apt",NA,4,3,"2021-12-20",189,6,0.15,"Ward 7",NA,44.92076,-123.04577,3,1125,3,3,3,179,5,5,4.67,5,5,5
15272064,49073704,"Vista Manor Peacock room. Queen bed ensuite bath.","Private room",NA,1,5,"2021-12-20",55,627,9.91,"Ward 2",NA,44.91144,-123.042,1,90,18,45,75,75,4.94,4.97,4.93,4.98,4.95,4.96
15815105,49073704,"Vista Manor master suite, King bed ensuite bath.","Private room",NA,1,5,"2021-12-20",77,409,6.61,"Ward 2",NA,44.91053,-123.04181,1,1125,22,51,81,81,4.96,4.98,4.96,4.99,4.94,4.98
